,G1,G2,G3,G4,G5,G6,G7,Wa1,Wa2,Wi1,Wi2,Wi3,I,S1,S2,Tw,Tr,L,R,E,AC,D1,D2
0,270,3.9,3.2,4.9,4,3,0.71,NC,0.35,3.76,0.45,0.88,0.99,1,0.0,0.0,0.0,B,1,76.516,55.279781,1.0,NP
1,315,1.8,1.6,4.2,5,5,0.33,HC,0.3,1.02,0.54,0.48,1.4,1,0.0,0.0,0.0,B,1,79.545,60.333534,0.729953917,NP
2,225,2.4,2.0,4.3,6,4,0.22,BR,0.2,1.94,0.71,0.78,1.21,1,0.0,0.0,0.0,B,1,79.11,60.483974,0.650300055,P
3,270,1.9,3.8,3.1,7,4,0.3,NC,0.3,2.66,0.52,0.67,0.71,1,0.0,0.0,0.0,B,1,79.651,55.449386,0.713513514,P
4,135,1.6,3.5,5.0,9,1,0.4,LC,0.25,1.05,0.69,0.6,1.73,1,0.0,0.0,0.0,B,1,87.257,62.404597,0.259467041,P
5,270,3.1,2.7,3.8,9,6,0.25,HC,0.35,2.12,0.65,0.43,1.99,1,0.0,0.0,0.0,B,1,82.362,61.369048,0.443550882,P
6,225,3.6,2.4,3.5,8,6,0.5,LC,0.25,1.34,0.41,0.56,1.07,1,0.0,0.0,0.0,B,1,78.712,54.638355,0.791129757,NP
7,45,3.7,2.2,4.7,10,2,0.11,HC,0.3,3.99,0.55,0.81,0.43,1,0.0,0.0,0.0,B,1,98.811,55.455128,0.096527557,P
8,135,2.0,2.1,2.9,8,1,0.55,LC,0.25,4.08,0.27,0.62,1.78,1,0.0,0.0,0.0,B,1,82.579,60.652885,0.349593496,P
9,225,3.3,3.1,4.1,9,3,0.26,BR,0.2,3.0,0.5,0.44,1.66,1,0.0,0.0,0.0,B,1,85.518,64.462569,0.27112232,P
10,90,2.8,3.6,3.3,6,4,0.66,BR,0.35,1.67,0.32,0.69,1.55,1,0.0,0.0,0.0,B,1,75.94,61.839133,0.959026889,NP
11,0,3.5,3.0,4.3,5,7,0.49,NC,0.35,4.82,0.72,0.76,0.38,1,0.0,0.0,0.0,B,1,81.217,41.378777,1.0,NP
12,0,2.9,3.1,3.4,7,5,0.14,NC,0.3,4.52,0.85,0.59,0.59,1,0.0,0.0,0.0,B,1,94.182,49.374509,0.183203911,P
13,270,2.4,1.5,4.0,6,5,0.67,LC,0.35,5.06,0.37,0.52,1.47,1,0.0,0.0,0.0,B,1,77.635,63.307959,1.0,NP
14,45,2.6,1.9,3.6,8,5,0.35,HC,0.3,0.66,0.82,0.86,0.91,1,0.0,0.0,0.0,B,1,80.672,45.844351,0.715951245,P
15,135,2.6,3.3,3.0,5,2,0.37,LC,0.25,4.36,0.59,0.75,0.48,1,0.0,0.0,0.0,B,1,90.862,39.926382,0.269381599,P
16,90,2.1,3.6,3.2,5,6,0.54,NC,0.3,3.14,0.34,0.4,0.75,1,0.0,0.0,0.0,B,1,77.496,57.86859,0.798351082,P
